method,image_id,repeat,k_budget,k,cost,k_norm,mse,ssim,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels
greedy,7,,1,1,0.10000000149011612,0.1,0.0047253090888261795,0.6450714768927548,0.9952746909111738,0.6450714768927548,0.8999999985098839,0.9,0,H00
greedy,7,,2,2,0.20000000298023224,0.2,0.0027376851066946983,0.8188216988878783,0.9972623148933053,0.8188216988878783,0.7999999970197678,0.8,0 4,H00 H11
greedy,7,,3,3,0.30000001192092896,0.3,0.0018224541563540697,0.873044528067112,0.9981775458436459,0.873044528067112,0.699999988079071,0.7,0 4 5,H00 H11 H20
greedy,7,,4,4,0.4000000059604645,0.4,0.0011007825378328562,0.9164959155067394,0.9988992174621671,0.9164959155067394,0.5999999940395355,0.6,0 3 4 5,H00 H02 H11 H20
greedy,7,,5,5,0.5,0.5,0.0009870502399280667,0.9236960482476866,0.9990129497600719,0.9236960482476866,0.5,0.5,0 3 4 5 6,H00 H02 H11 H20 H03
greedy,7,,6,6,0.6000000238418579,0.6,0.0009289974113926291,0.9281870476307965,0.9990710025886074,0.9281870476307965,0.3999999761581421,0.4,0 3 4 5 6 7,H00 H02 H11 H20 H03 H12
greedy,7,,7,7,0.699999988079071,0.7,0.0009248171700164676,0.9290231060010783,0.9990751828299835,0.9290231060010783,0.30000001192092896,0.30000000000000004,0 3 4 5 6 7 9,H00 H02 H11 H20 H03 H12 H30
greedy,7,,8,8,0.800000011920929,0.8,0.0009137868182733655,0.9294539300036062,0.9990862131817266,0.9294539300036062,0.19999998807907104,0.19999999999999996,0 2 3 4 5 6 7 9,H00 H10 H02 H11 H20 H03 H12 H30
greedy,7,,9,9,0.8999999761581421,0.9,0.0009055752889253199,0.9294989761961768,0.9990944247110747,0.9294989761961768,0.10000002384185791,0.09999999999999998,0 1 2 3 4 5 6 7 9,H00 H01 H10 H02 H11 H20 H03 H12 H30
greedy,7,,10,10,1.0,1.0,0.0009005171596072614,0.9303423867037124,0.9990994828403927,0.9303423867037124,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30
greedy,8,,1,1,0.10000000149011612,0.1,0.005171672441065311,0.6759086361699754,0.9948283275589347,0.6759086361699754,0.8999999985098839,0.9,0,H00
greedy,8,,2,2,0.20000000298023224,0.2,0.0029997266829013824,0.8394454093993277,0.9970002733170986,0.8394454093993277,0.7999999970197678,0.8,0 4,H00 H11
greedy,8,,3,3,0.30000001192092896,0.3,0.0019148780265823007,0.8847401155719221,0.9980851219734177,0.8847401155719221,0.699999988079071,0.7,0 3 4,H00 H02 H11
greedy,8,,4,4,0.4000000059604645,0.4,0.0013346211053431034,0.9167494995249037,0.9986653788946569,0.9167494995249037,0.5999999940395355,0.6,0 3 4 5,H00 H02 H11 H20
greedy,8,,5,5,0.5,0.5,0.0012097187573090196,0.9264121021007882,0.998790281242691,0.9264121021007882,0.5,0.5,0 3 4 5 6,H00 H02 H11 H20 H03
greedy,8,,6,6,0.6000000238418579,0.6,0.001153859542682767,0.9305943721389303,0.9988461404573172,0.9305943721389303,0.3999999761581421,0.4,0 3 4 5 6 7,H00 H02 H11 H20 H03 H12
greedy,8,,7,7,0.699999988079071,0.7,0.0011421892559155822,0.9319566350040446,0.9988578107440844,0.9319566350040446,0.30000001192092896,0.30000000000000004,0 3 4 5 6 7 9,H00 H02 H11 H20 H03 H12 H30
greedy,8,,8,8,0.800000011920929,0.8,0.0011253042612224817,0.9330184271140523,0.9988746957387775,0.9330184271140523,0.19999998807907104,0.19999999999999996,0 3 4 5 6 7 8 9,H00 H02 H11 H20 H03 H12 H21 H30
greedy,8,,9,9,0.8999999761581421,0.9,0.0011090970365330577,0.9333322405079811,0.9988909029634669,0.9333322405079811,0.10000002384185791,0.09999999999999998,0 1 3 4 5 6 7 8 9,H00 H01 H02 H11 H20 H03 H12 H21 H30
greedy,8,,10,10,1.0,1.0,0.0010921033099293709,0.9330477082125143,0.9989078966900706,0.9330477082125143,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30
greedy,9,,1,1,0.10000000149011612,0.1,0.004875874146819115,0.7128222574791057,0.9951241258531809,0.7128222574791057,0.8999999985098839,0.9,0,H00
greedy,9,,2,2,0.20000000298023224,0.2,0.002778807654976845,0.8278423359974173,0.9972211923450232,0.8278423359974173,0.7999999970197678,0.8,0 5,H00 H20
greedy,9,,3,3,0.30000001192092896,0.3,0.0018154078861698508,0.8842679404971432,0.9981845921138301,0.8842679404971432,0.699999988079071,0.7,0 3 5,H00 H02 H20
greedy,9,,4,4,0.4000000059604645,0.4,0.0014563733711838722,0.9118424741181409,0.9985436266288161,0.9118424741181409,0.5999999940395355,0.6,0 3 4 5,H00 H02 H11 H20
greedy,9,,5,5,0.5,0.5,0.0013060668716207147,0.9183343805186672,0.9986939331283793,0.9183343805186672,0.5,0.5,0 3 4 5 9,H00 H02 H11 H20 H30
greedy,9,,6,6,0.6000000238418579,0.6,0.0012458970304578543,0.9224571272571361,0.9987541029695421,0.9224571272571361,0.3999999761581421,0.4,0 3 4 5 8 9,H00 H02 H11 H20 H21 H30
greedy,9,,7,7,0.699999988079071,0.7,0.0012417782563716173,0.922881051224704,0.9987582217436284,0.922881051224704,0.30000001192092896,0.30000000000000004,0 3 4 5 6 8 9,H00 H02 H11 H20 H03 H21 H30
greedy,9,,8,8,0.800000011920929,0.8,0.00122960249427706,0.9238471245475105,0.9987703975057229,0.9238471245475105,0.19999998807907104,0.19999999999999996,0 1 3 4 5 6 8 9,H00 H01 H02 H11 H20 H03 H21 H30
greedy,9,,9,9,0.8999999761581421,0.9,0.0012227857951074839,0.923950052289702,0.9987772142048925,0.923950052289702,0.10000002384185791,0.09999999999999998,0 1 3 4 5 6 7 8 9,H00 H01 H02 H11 H20 H03 H12 H21 H30
greedy,9,,10,10,1.0,1.0,0.0012130457907915115,0.9249279778295691,0.9987869542092085,0.9249279778295691,0.0,0.0,0 1 2 3 4 5 6 7 8 9,H00 H01 H10 H02 H11 H20 H03 H12 H21 H30
