method,image_id,repeat,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,preference_id,preference_name,preference,actions,reconstruction_mode
random,7,13,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0022833535913378,0.8780260606182742,0.8620180437112354,0.9977166464086622,0.8780260606182742,0.6666666666666667,0.6666666666666667,0 1 2 7,H00 H01 H10 H12,1 2 7,H01 H10 H12,,,,,direct_sum
random,7,14,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0043247458525002,0.8458915212358858,0.8133985583687791,0.9956752541474998,0.8458915212358858,0.6666666666666667,0.6666666666666667,0 1 2 8,H00 H01 H10 H21,1 2 8,H01 H10 H21,,,,,direct_sum
random,7,15,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0020911740139126778,0.8728512589964799,0.901476213718615,0.9979088259860873,0.8728512589964799,0.6666666666666667,0.6666666666666667,0 3 4 7,H00 H02 H11 H12,3 4 7,H02 H11 H12,,,,,direct_sum
random,7,16,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.007851125672459602,0.7998872488320724,0.8071455440310088,0.9921488743275404,0.7998872488320724,0.6666666666666667,0.6666666666666667,0 1 6 8,H00 H01 H03 H21,1 6 8,H01 H03 H21,,,,,direct_sum
random,7,17,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0043247458525002,0.8458915212358858,0.8133985583687791,0.9956752541474998,0.8458915212358858,0.6666666666666667,0.6666666666666667,0 1 2 8,H00 H01 H10 H21,1 2 8,H01 H10 H21,,,,,direct_sum
random,7,18,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.004254218190908432,0.8189263663805055,0.7698075112081431,0.9957457818090916,0.8189263663805055,0.6666666666666667,0.6666666666666667,0 2 4 9,H00 H10 H11 H30,2 4 9,H10 H11 H30,,,,,direct_sum
random,7,19,3,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0027979612350463867,0.8404999627990872,0.7922741133359003,0.9972020387649536,0.8404999627990872,0.6666666666666667,0.6666666666666667,0 2 5 8,H00 H10 H20 H21,2 5 8,H10 H20 H21,,,,,direct_sum
random,7,0,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.007948455400764942,0.8667593473008215,0.8723438674840881,0.9920515445992351,0.8667593473008215,0.4444444444444444,0.4444444444444444,0 1 3 4 5 8,H00 H01 H02 H11 H20 H21,1 3 4 5 8,H01 H02 H11 H20 H21,,,,,direct_sum
random,7,1,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0035130006726831198,0.8741641302507782,0.8693180751645893,0.9964869993273169,0.8741641302507782,0.4444444444444444,0.4444444444444444,0 1 2 7 8 9,H00 H01 H10 H12 H21 H30,1 2 7 8 9,H01 H10 H12 H21 H30,,,,,direct_sum
random,7,2,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0023662575986236334,0.8926644095980455,0.8681214127712393,0.9976337424013764,0.8926644095980455,0.4444444444444444,0.4444444444444444,0 2 4 5 7 8,H00 H10 H11 H20 H12 H21,2 4 5 7 8,H10 H11 H20 H12 H21,,,,,direct_sum
random,7,3,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0015855904202908278,0.9236624344704976,0.9262327638847101,0.9984144095797092,0.9236624344704976,0.4444444444444444,0.4444444444444444,0 3 4 5 7 8,H00 H02 H11 H20 H12 H21,3 4 5 7 8,H02 H11 H20 H12 H21,,,,,direct_sum
random,7,4,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.006806526333093643,0.8758576638934586,0.8851194086269898,0.9931934736669064,0.8758576638934586,0.4444444444444444,0.4444444444444444,0 1 3 5 7 8,H00 H01 H02 H20 H12 H21,1 3 5 7 8,H01 H02 H20 H12 H21,,,,,direct_sum
random,7,5,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.002735476242378354,0.8683844008233828,0.8444824074466625,0.9972645237576216,0.8683844008233828,0.4444444444444444,0.4444444444444444,0 2 5 7 8 9,H00 H10 H20 H12 H21 H30,2 5 7 8 9,H10 H20 H12 H21 H30,,,,,direct_sum
random,7,6,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.006603582762181759,0.8652750338371246,0.8856590873632676,0.9933964172378182,0.8652750338371246,0.4444444444444444,0.4444444444444444,0 1 3 6 7 8,H00 H01 H02 H03 H12 H21,1 3 6 7 8,H01 H02 H03 H12 H21,,,,,direct_sum
random,7,7,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.006603582762181759,0.8652750338371246,0.8856590873632676,0.9933964172378182,0.8652750338371246,0.4444444444444444,0.4444444444444444,0 1 3 6 7 8,H00 H01 H02 H03 H12 H21,1 3 6 7 8,H01 H02 H03 H12 H21,,,,,direct_sum
random,7,8,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0017336938763037324,0.906685068104837,0.919288272902922,0.9982663061236963,0.906685068104837,0.4444444444444444,0.4444444444444444,0 2 3 4 5 6,H00 H10 H02 H11 H20 H03,2 3 4 5 6,H10 H02 H11 H20 H03,,,,,direct_sum
random,7,9,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.007606360130012035,0.838552680364882,0.8472722240477807,0.992393639869988,0.838552680364882,0.4444444444444444,0.4444444444444444,0 1 2 5 6 8,H00 H01 H10 H20 H03 H21,1 2 5 6 8,H01 H10 H20 H03 H21,,,,,direct_sum
random,7,10,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.002871988108381629,0.8699135049628304,0.8870330879340538,0.9971280118916184,0.8699135049628304,0.4444444444444444,0.4444444444444444,0 1 2 6 7 9,H00 H01 H10 H03 H12 H30,1 2 6 7 9,H01 H10 H03 H12 H30,,,,,direct_sum
