method,preference_id,preference_name,preference,image_id,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,actions,repeat
top-k energy,,high_fidelity,,9,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002795994048938155,0.8146355118288013,0.7837749415389097,0.9972040059510618,0.8146355118288013,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,
greedy,,high_fidelity,,9,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.002778807654976845,0.8278423359974173,0.8602980806853073,0.9972211923450232,0.8278423359974173,0.8888888888888888,0.8888888888888888,0 5,H00 H20,5,H20,,
Envelope-DQN,1.0,mse_ssim_balance,0.350 0.350 0.150 0.150,0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0023713766131550074,0.8813675224657007,0.8416883492456311,0.997628623386845,0.8813675224657007,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10,
random,,mse_ssim_balance,,0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0031618126668035984,0.8314715555994179,0.7771694165199811,0.9968381873331964,0.8314715555994179,0.8888888888888888,0.8888888888888888,0 6,H00 H03,6,H03,,
top-k energy,,mse_ssim_balance,,0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0026654109824448824,0.8590301911520476,0.7909125031451552,0.9973345890175551,0.8590301911520476,0.8888888888888888,0.8888888888888888,0 1,H00 H01,1,H01,,
greedy,,mse_ssim_balance,,0,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0023713766131550074,0.8813675224657007,0.8416883492456311,0.997628623386845,0.8813675224657007,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,,
Envelope-DQN,1.0,mse_ssim_balance,0.350 0.350 0.150 0.150,1,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0017911435570567846,0.8343427604093138,0.8336200956800563,0.9982088564429432,0.8343427604093138,0.8888888888888888,0.8888888888888888,0 4,H00 H11,4,H11,4 10,
random,,mse_ssim_balance,,1,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0018523121252655983,0.8031295358904335,0.811740844982704,0.9981476878747344,0.8031295358904335,0.8888888888888888,0.8888888888888888,0 9,H00 H30,9,H30,,
top-k energy,,mse_ssim_balance,,1,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0015047318302094936,0.8414339700295157,0.8224375514178976,0.9984952681697905,0.8414339700295157,0.8888888888888888,0.8888888888888888,0 2,H00 H10,2,H10,,
greedy,,mse_ssim_balance,,1,1,1,2,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0015798253007233143,0.8434021819325321,0.8156463025269328,0.9984201746992767,0.8434021819325321,0.8888888888888888,0.8888888888888888,0 7,H00 H12,7,H12,,
