episode,global_step,epsilon,scalar_return,loss,mse,ssim,k,cost,actions
1924,7417,0.050000000000000044,0.27879422903060913,0.00014819250160750622,0.0014564129523932934,0.8685334123594645,2,0.13333333333333333,9 0 15
1925,7419,0.050000000000000044,0.08240792900323868,0.00018272075976710767,0.003982699941843748,0.6812698549951464,1,0.06666666666666667,0 15
1926,7421,0.050000000000000044,0.1312006413936615,0.00011386075129848905,0.0023328824900090694,0.8432090521284006,1,0.06666666666666667,0 15
1927,7423,0.050000000000000044,0.1344224512577057,0.00019292591605335474,0.003237640717998147,0.7251322270458505,1,0.06666666666666667,0 15
1928,7425,0.050000000000000044,0.23669050633907318,0.000167509959283052,0.0034648894798010588,0.7995885665950395,1,0.06666666666666667,0 15
1929,7429,0.050000000000000044,0.33748915791511536,0.00018492410890758038,0.0012141721090301871,0.8637926170644522,3,0.2,0 13 10 15
1930,7433,0.050000000000000044,0.4288221597671509,0.00016366846648452338,0.001901628216728568,0.848529314633357,3,0.2,0 13 10 15
1931,7437,0.050000000000000044,0.3760000467300415,0.0001942890194186475,0.0012752693146467209,0.8780217850835513,3,0.2,0 13 10 15
1932,7439,0.050000000000000044,0.1711343228816986,0.00018694752361625433,0.002334018237888813,0.8169348388184947,1,0.06666666666666667,0 15
1933,7441,0.050000000000000044,0.09905785322189331,0.0001802072292775847,0.002730385400354862,0.7102124447359589,1,0.06666666666666667,0 15
1934,7445,0.050000000000000044,0.29351550340652466,0.00014862275565974414,0.0014458316145464778,0.8887494149729698,3,0.2,0 13 10 15
1935,7449,0.050000000000000044,0.4288221597671509,0.00015393639841931872,0.001901628216728568,0.848529314633357,3,0.2,0 13 10 15
1936,7452,0.050000000000000044,0.09403251111507416,0.0001678249245742336,0.0011766415555030107,0.9053764023887841,2,0.13333333333333333,13 0 15
1937,7454,0.050000000000000044,0.2495211362838745,0.00015945138147799298,0.002150712301954627,0.7679219787539504,1,0.06666666666666667,0 15
1938,7456,0.050000000000000044,0.17167341709136963,0.00012972421973245218,0.0038083093240857124,0.7457163336772752,1,0.06666666666666667,0 15
