method,image_id,repeat,k_budget,k,cost,k_norm,mse,ssim,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,is_pareto_global,is_pareto_by_method
random,2,2.0,3,3,0.5,0.5,0.2004346847534179,0.0279848863849121,0.799565315246582,0.0279848863849121,0.5,0.5,1 3 4,H01 H02 H11,False,False
random,2,0.0,4,4,0.6666666865348816,0.6666666666666666,0.0001526208070572,0.9624449817033914,0.9998473791929428,0.9624449817033914,0.3333333134651184,0.3333333333333333,0 2 3 5,H00 H10 H02 H20,False,False
random,2,1.0,4,4,0.6666666865348816,0.6666666666666666,0.0001526208070572,0.9624449817033914,0.9998473791929428,0.9624449817033914,0.3333333134651184,0.3333333333333333,0 2 3 5,H00 H10 H02 H20,False,False
random,2,2.0,4,4,0.6666666865348816,0.6666666666666666,0.0002972442598547,0.9289026733862578,0.9997027557401452,0.9289026733862578,0.3333333134651184,0.3333333333333333,0 1 3 4,H00 H01 H02 H11,False,False
random,2,0.0,5,5,0.8333333134651184,0.8333333333333334,0.0001145476198871,0.9743879651705896,0.9998854523801128,0.9743879651705896,0.1666666865348816,0.1666666666666666,0 1 2 3 5,H00 H01 H10 H02 H20,False,True
random,2,1.0,5,5,0.8333333134651184,0.8333333333333334,0.1989262700080871,0.0414739627297761,0.8010737299919128,0.0414739627297761,0.1666666865348816,0.1666666666666666,1 2 3 4 5,H01 H10 H02 H11 H20,False,False
random,2,2.0,5,5,0.8333333134651184,0.8333333333333334,0.0001429592375643,0.9732967878763492,0.9998570407624356,0.9732967878763492,0.1666666865348816,0.1666666666666666,0 1 2 3 4,H00 H01 H10 H02 H11,False,False
random,2,0.0,6,6,1.0,1.0,9.150178811978547e-05,0.9815408941909406,0.9999084982118802,0.9815408941909406,0.0,0.0,0 1 2 3 4 5,H00 H01 H10 H02 H11 H20,True,True
random,2,1.0,6,6,1.0,1.0,9.150178811978547e-05,0.9815408941909406,0.9999084982118802,0.9815408941909406,0.0,0.0,0 1 2 3 4 5,H00 H01 H10 H02 H11 H20,True,True
random,2,2.0,6,6,1.0,1.0,9.150178811978547e-05,0.9815408941909406,0.9999084982118802,0.9815408941909406,0.0,0.0,0 1 2 3 4 5,H00 H01 H10 H02 H11 H20,True,True
energy,0,,1,1,0.1666666716337204,0.1666666666666666,0.0120708104223012,0.7107669510520421,0.9879291895776988,0.7107669510520421,0.8333333283662796,0.8333333333333334,0,H00,False,False
energy,0,,2,2,0.3333333432674408,0.3333333333333333,0.0086756218224763,0.804071774232317,0.9913243781775236,0.804071774232317,0.6666666567325592,0.6666666666666667,0 1,H00 H01,False,False
energy,0,,3,3,0.5,0.5,0.0050182789564132,0.905112051752192,0.9949817210435868,0.905112051752192,0.5,0.5,0 1 2,H00 H01 H10,False,False
energy,0,,4,4,0.6666666865348816,0.6666666666666666,0.0036384253762662,0.9299661152108888,0.9963615746237338,0.9299661152108888,0.3333333134651184,0.3333333333333333,0 1 2 5,H00 H01 H10 H20,False,False
energy,0,,5,5,0.8333333134651184,0.8333333333333334,0.0027479142881929,0.9486511407871924,0.997252085711807,0.9486511407871924,0.1666666865348816,0.1666666666666666,0 1 2 3 5,H00 H01 H10 H02 H20,False,False
energy,0,,6,6,1.0,1.0,0.0022775640245527,0.9572614377595968,0.9977224359754472,0.9572614377595968,0.0,0.0,0 1 2 3 4 5,H00 H01 H10 H02 H11 H20,False,False
energy,1,,1,1,0.1666666716337204,0.1666666666666666,0.0019506105454638,0.92308997636187,0.998049389454536,0.92308997636187,0.8333333283662796,0.8333333333333334,0,H00,True,True
