episode,global_step,epsilon,scalar_return,loss,mse,ssim,k,paid_k,total_k,cost,actions
1822,9638,0.050000000000000044,0.08485784381628036,0.0004218476436411341,0.0013914601877331734,0.8662559903724015,2,2,3,0.0,3 5 10
1823,9647,0.050000000000000044,0.48618951439857483,0.00035712246446766786,0.0008321161149069667,0.9327789712143568,8,8,9,0.0,7 9 5 4 2 3 1 8 10
1824,9652,0.050000000000000044,0.16851556301116943,0.00045614163973368705,0.00047345642815344036,0.9472198674320182,4,4,5,0.0,1 4 3 5 10
1825,9657,0.050000000000000044,0.1436135321855545,0.0004619179875589907,0.0008616394479759037,0.9189084983396474,4,4,5,0.0,2 5 4 3 10
1826,9660,0.050000000000000044,0.091082364320755,0.00037534700823016465,0.0012427582405507565,0.8784250103902873,2,2,3,0.0,7 8 10
1827,9663,0.050000000000000044,0.08542976528406143,0.0003624017311570545,0.001488598994910717,0.8755486795543632,2,2,3,0.0,7 8 10
1828,9669,0.050000000000000044,0.41635164618492126,0.00031406683653282624,0.0007632316555827856,0.9188885867914603,5,5,6,0.0,4 7 9 5 3 10
1829,9673,0.050000000000000044,0.30401620268821716,0.0003515573735057842,0.0006716125644743443,0.9484512512345092,3,3,4,0.0,4 5 3 10
1830,9677,0.050000000000000044,0.30297723412513733,0.00037196859921095893,0.0009209985146299005,0.9276692834057082,3,3,4,0.0,4 5 3 10
1831,9681,0.050000000000000044,0.3220631182193756,0.0003898741997545585,0.00039680927875451744,0.9629182144202176,3,3,4,0.0,4 5 3 10
1832,9685,0.050000000000000044,0.30401620268821716,0.00036076884862268344,0.0006716125644743443,0.9484512512345092,3,3,4,0.0,4 5 3 10
1833,9689,0.050000000000000044,0.1996101438999176,0.0003227717970730737,0.0004871294368058443,0.9462413316709959,3,3,4,0.0,4 5 3 10
1834,9695,0.050000000000000044,0.4306153357028961,0.0003228854790601569,0.0003661024384200573,0.9331274388023563,5,5,6,0.0,4 7 3 9 5 10
1835,9701,0.050000000000000044,0.4553869962692261,0.0003436943710160752,0.0006484143668785691,0.9498434619231684,5,5,6,0.0,3 1 8 5 4 10
1836,9706,0.050000000000000044,0.21256259083747864,0.0003991568635683507,0.0017306746449321508,0.8764653371804251,4,4,5,0.0,9 4 5 3 10
1837,9709,0.050000000000000044,0.10017555952072144,0.0003569595670948426,0.001644124393351376,0.8720383136029334,2,2,3,0.0,3 5 10
1838,9713,0.050000000000000044,0.3015821576118469,0.0003613978115026839,0.0004913120064884424,0.9460985286517886,3,3,4,0.0,3 5 4 10
