episode,seed,hermite_config,sigma,kernel_size,max_order,global_step,epsilon,scalar_return,loss,mse,ssim,k,paid_k,total_k,cost,actions
130,0,sigma_1p0__kernel_9__order_2,1.0,9,2,431,0.8635166666666667,0.2822667956352234,0.0004150395980104804,0.0009734080522321165,0.9143856523224063,1,1,2,0.0,4 6
131,0,sigma_1p0__kernel_9__order_2,1.0,9,2,432,0.8632,0.0,0.0006918481085449457,0.0017853517783805728,0.8057641484702668,0,0,1,0.0,6
132,0,sigma_1p0__kernel_9__order_2,1.0,9,2,434,0.8625666666666667,0.13593368232250214,0.0005676386354025453,0.0007858097087591887,0.9330547897235959,1,1,2,0.0,2 6
133,0,sigma_1p0__kernel_9__order_2,1.0,9,2,438,0.8613,-0.014869317412376404,0.00041366254299646243,0.0006586172385141253,0.9279895873295141,3,3,4,0.0,3 5 1 6
134,0,sigma_1p0__kernel_9__order_2,1.0,9,2,443,0.8597166666666667,0.5466404557228088,0.0005332974600605666,0.00016493862494826317,0.9796446033982686,4,4,5,0.0,5 3 2 1 6
135,0,sigma_1p0__kernel_9__order_2,1.0,9,2,447,0.85845,0.12049801647663116,0.000572452656342648,0.0007914582965895534,0.9567301349889368,3,3,4,0.0,3 4 1 6
136,0,sigma_1p0__kernel_9__order_2,1.0,9,2,451,0.8571833333333333,0.010090194642543793,0.0005916846130276099,0.0005750933778472245,0.9534452539845397,3,3,4,0.0,3 1 4 6
137,0,sigma_1p0__kernel_9__order_2,1.0,9,2,456,0.8556,0.48476219177246094,0.0005671875434927643,0.0004860204935539514,0.956205478781894,4,4,5,0.0,3 4 2 5 6
138,0,sigma_1p0__kernel_9__order_2,1.0,9,2,461,0.8540166666666666,0.4361605644226074,0.000521203048992902,0.00013534293975681067,0.9771839583316966,5,5,6,0.0,5 3 4 2 1
139,0,sigma_1p0__kernel_9__order_2,1.0,9,2,462,0.8537,0.0,0.0004482908407226205,0.0012056378182023764,0.8928408563695184,0,0,1,0.0,6
140,0,sigma_1p0__kernel_9__order_2,1.0,9,2,464,0.8530666666666666,0.3069170415401459,0.00039077538531273603,0.0014982803259044886,0.8942204397282476,1,1,2,0.0,2 6
141,0,sigma_1p0__kernel_9__order_2,1.0,9,2,469,0.8514833333333334,0.18392989039421082,0.0005731869605369866,0.00019453746790532023,0.9847555865714156,5,5,6,0.0,2 4 3 1 5
142,0,sigma_1p0__kernel_9__order_2,1.0,9,2,472,0.8505333333333334,0.13315606117248535,0.0005324345353680352,0.00041720413719303906,0.9584034609029183,2,2,3,0.0,5 4 6
143,0,sigma_1p0__kernel_9__order_2,1.0,9,2,477,0.84895,0.050655797123909,0.0006283152586547657,0.000355405529262498,0.9766140363481467,5,5,6,0.0,2 5 3 1 4
144,0,sigma_1p0__kernel_9__order_2,1.0,9,2,478,0.8486333333333334,0.0,0.0003686517011374235,0.0021252217702567577,0.8223969706984217,0,0,1,0.0,6
145,0,sigma_1p0__kernel_9__order_2,1.0,9,2,483,0.84705,0.15879014134407043,0.0005651601473800838,0.0004818716843146831,0.9493924068568295,4,4,5,0.0,1 2 3 5 6
146,0,sigma_1p0__kernel_9__order_2,1.0,9,2,484,0.8467333333333333,0.0,0.0005915060173720121,0.0022997516207396984,0.8291534932903883,0,0,1,0.0,6
147,0,sigma_1p0__kernel_9__order_2,1.0,9,2,487,0.8457833333333333,0.19168591499328613,0.0005528509015372644,0.0014936183579266071,0.9134361219197051,2,2,3,0.0,4 3 6
148,0,sigma_1p0__kernel_9__order_2,1.0,9,2,491,0.8445166666666667,-0.022235073149204254,0.0004601458931574598,0.000746669655200094,0.9289200627704579,3,3,4,0.0,5 2 3 6
149,0,sigma_1p0__kernel_9__order_2,1.0,9,2,492,0.8442000000000001,0.0,0.000868688803166151,0.0007771444506943226,0.9101375993274764,0,0,1,0.0,6
150,0,sigma_1p0__kernel_9__order_2,1.0,9,2,497,0.8426166666666667,0.16364026069641113,0.0004995155148208141,0.000357991608325392,0.9613997680572494,4,4,5,0.0,1 2 5 4 6
