method,image_id,repeat,k_budget,k,k_total,k_effective,cost,k_norm,k_norm_effective,mse,ssim,edge_corr,obj_mse,obj_ssim,obj_cost,obj_k,selected_indices,selected_labels,selected_detail_indices,selected_detail_labels,preference_id,preference_name,preference,actions
random,5,6,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0011196847772225738,0.9031550798401254,0.8644589311263242,0.9988803152227774,0.9031550798401254,0.4444444444444444,0.4444444444444444,0 1 2 3 7 9,H00 H01 H10 H02 H12 H30,1 2 3 7 9,H01 H10 H02 H12 H30,,,,
random,5,7,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0008990894421003759,0.9172299487890585,0.8944536350226963,0.9991009105578996,0.9172299487890585,0.4444444444444444,0.4444444444444444,0 1 2 3 4 6,H00 H01 H10 H02 H11 H03,1 2 3 4 6,H01 H10 H02 H11 H03,,,,
random,5,8,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0008101997664198279,0.9215410773450781,0.921679186642666,0.9991898002335802,0.9215410773450781,0.4444444444444444,0.4444444444444444,0 1 2 5 6 7,H00 H01 H10 H20 H03 H12,1 2 5 6 7,H01 H10 H20 H03 H12,,,,
random,5,9,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0007076396141201258,0.9262451198700634,0.9291785072688145,0.9992923603858799,0.9262451198700634,0.4444444444444444,0.4444444444444444,0 2 4 5 8 9,H00 H10 H11 H20 H21 H30,2 4 5 8 9,H10 H11 H20 H21 H30,,,,
random,5,10,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0008146135369315743,0.9221430164136161,0.9212990724655068,0.9991853864630684,0.9221430164136161,0.4444444444444444,0.4444444444444444,0 2 3 6 7 8,H00 H10 H02 H03 H12 H21,2 3 6 7 8,H10 H02 H03 H12 H21,,,,
random,5,11,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0008847902063280344,0.9112506697350818,0.9078749095950444,0.999115209793672,0.9112506697350818,0.4444444444444444,0.4444444444444444,0 1 2 6 8 9,H00 H01 H10 H03 H21 H30,1 2 6 8 9,H01 H10 H03 H21 H30,,,,
random,5,12,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0008146135369315743,0.9221430164136161,0.9212990724655068,0.9991853864630684,0.9221430164136161,0.4444444444444444,0.4444444444444444,0 2 3 6 7 8,H00 H10 H02 H03 H12 H21,2 3 6 7 8,H10 H02 H03 H12 H21,,,,
random,5,13,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0008889666059985757,0.9202544689355651,0.9284209269305139,0.9991110333940014,0.9202544689355651,0.4444444444444444,0.4444444444444444,0 1 3 5 6 8,H00 H01 H02 H20 H03 H21,1 3 5 6 8,H01 H02 H20 H03 H21,,,,
random,5,14,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0008248180383816361,0.9142286063268267,0.9178033020720546,0.9991751819616184,0.9142286063268267,0.4444444444444444,0.4444444444444444,0 2 5 6 8 9,H00 H10 H20 H03 H21 H30,2 5 6 8 9,H10 H20 H03 H21 H30,,,,
random,5,15,5,5,6,5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0006231276784092188,0.9386622818025199,0.9437702314079077,0.9993768723215908,0.9386622818025199,0.4444444444444444,0.4444444444444444,0 3 4 5 7 9,H00 H02 H11 H20 H12 H30,3 4 5 7 9,H02 H11 H20 H12 H30,,,,
